head,time,article 
迟到两年半的第一分！不少人都以为他早退役了,2018年11月15日 22:15,　　北京时间11月15日，CBA联赛江苏队以114-100战胜了北控。北控队虽然遗憾的吞下了6连败，但是因为孙贺男的登场，让人们在这支球队内看到了一丝温度。　　孙贺男在今天的比赛中靠着一次投篮和两次罚球得到4分，命中率达到了100%。而这也是他时隔675天之后，在CBA联赛再一次完成得分。这也是他加盟北控三个赛季以来的首次得分。　　在比赛的第三节，孙贺男披挂上阵，在过大的分差面前很多人都没注意到刚刚伤愈复出的他，而孙贺男不久之后就投篮命中，时隔两个赛季终于再次得到了分数。可能2分对于一名球员不算什么，而这2分对于孙贺男来说意义非凡。　　孙贺男自10-11赛季开始就效力于广厦队，而13-14赛季正是孙贺男的高光赛季，那个赛季他场均可以得到7.8分，而强悍的作风以及精准的投篮让许多广厦球迷都称他为“小林志杰”。不过随着年轻人的崛起以及在重要比赛中的几个低水平失误，让他在广厦队逐渐失去了位置。　　在2016年2月5号对阵佛山队得到5分之后，孙贺男便再也没有在CBA有过出场。他在该赛季结束之后他就转会到了北控队，但是两年半以来，孙贺男一直没能上场，有传言说是他受了大伤不能复出打球，更有人说他已经退役了。　　在上轮对阵福建的时候，孙贺男获得了3分钟出场时间，完成了这份迟到多年的为北控男篮的首秀，而今天的得分也是他为球队第一次得分，或许他的上场要感谢杨敬敏的受伤，但是孙贺男告诉我们，机会永远是留给有准的人的。　　（肉夹馍）
青岛男篮取胜走上正轨 范斌：全队非常团结,2018年11月15日 09:47,　　来源：青岛国信双星篮球俱乐部公众号　　北京时间2018年11月14日，2018-2019赛季CBA联赛第十一轮。青岛国信双星客场98-91战胜四川男篮。全场比赛，青岛队五人得分上双，篮板球赢下对手12个。更为难得的是，青岛队队员之间明显产生“化学反应”，场上打得更加默契流畅，能够在四川客场赢球，充分说明了如今这支青岛队已经走上了正轨。　　四川男篮本赛季放弃使用三外援的权利，所以拥有双外援四节七人次的优势。也就是说，前三节比赛，他们都可以以双外援应对。这也让客场作战的青岛国信双星男篮在上半场打得有些艰难。不过如今的青岛队早已不是开局时期那支遭遇连败的球队，大伙的信心与战斗力随着比赛的进行愈加增强。下半场比赛，青岛队轻松抹平分差，并在比赛还有两分多钟结束的时候建立起了两位数的领先优势。虽然最后时刻，四川队利用全场紧逼一度缩小分差，但青岛队还是稳稳地以98：91拿到了宝贵的客场胜利。本场比赛张骋宇得到19分，杨凯和焦海龙各有11分进账。并且国内球员得分绝非是“锦上添花”，张骋宇在上半场的几次关键得分帮助球队咬紧比分；杨凯最后时刻的关键三分锁定胜局；焦海龙的篮下强打很好地分担了大外援约翰逊的内线压力。　　赛后主教练范斌点名表扬了国内球员的表现，并且提到了球队正在产生宝贵的化学反应。“球队今天非常团结，配合默契流畅，也很好的保护了自己的篮板，虽然四川队在前面给我们制造很多麻烦，但我们的队员表现得很专注，完全卸下了包袱，在键时刻队长张骋宇，杨凯、焦海龙，包括周湛东的周转，盘活了整个球队，虽然是赢了一场球，但队员们之间确实有了化学反应，打一场进一步，这是让我最为开心的。”　　结束与四川队的比赛后，青岛队11月16日将要奔赴东莞客场。在那里他们将与“八冠王”广东队恶战一场。逐渐走上正轨的青岛队能否给球迷带来更多惊喜，我们拭目以待。
四川男篮主帅：国内球员畏畏缩缩 外援一下场就懵,2018年11月15日 02:00,　　新华社成都电（记者陈地）CBA联赛第11轮14日继续进行，已遭遇四连败的四川队主场迎战同样战绩不佳的青岛队，结果以91：98告负，遭遇五连败。　　由于本赛季四川队有四节7人次外援上场资格，因此首节便可以使用双外援的四川队力争一开始就建立领先优势。汤普森、富兰克林两名外援开场后表现十分抢眼，里突外投，保持了相当高的命中率。青岛队则依靠张骋宇的经验与技术频频取分。随着主队老将孟达的三分命中，四川队首节28：18领先。　　第二节，青岛队小外援吉布森开启得分模式，三分、突破、过人，展示出超强的个人能力。仅过了5分钟，青岛队便将比分追为仅差3分。此后比赛陷入胶着，高强度身体对抗下，两队命中率都明显下降。半场结束，四川46：44仅领先2分。　　易边再战，青岛大外援约翰逊和四川队汤普森在内线不断肉搏，两人针尖对麦芒，比赛异常激烈。随着汤普森补扣得手，两队战成60平。第三节最后30秒，约翰逊在内线先强打造成“2+1”，接着又补篮得手，连得5分后，青岛以73：69反超四川队进入末节。　　决胜阶段，两队防守强度明显提高，前5分钟双方均仅只命中一球。但本节只能单外援作战的四川队在内线明显处于劣势，约翰逊凭借其篮下身高优势在攻守两端极大地限制了主队的发挥，四川队始终无法迫近比分。最后阶段，张骋宇和焦海龙三记压哨三分彻底浇灭了四川队反扑的火苗。　　赛后四川队主教练鲍曼表示，连续多场比赛被对手逆转，很大程度是由于外援上场受限或被对手限制时，国内球员显得畏畏缩缩，造成了许多无谓失误，并浪费了很多得分机会，要想扭转颓势，这一问题必须解决。　　全场比赛，四川队富兰克林贡献27分9次助攻，汤普森砍下26分14个篮板，老将孟达也拿下14分。青岛队方面，约翰逊取得28分19个篮板的大号两双，吉布森斩获22分，队长张骋宇发挥出色，拿到19分。
范斌:约翰逊单打非常强 张骋宇周湛东盘活全队,2018年11月15日 14:28,　　来源：青岛日报　　记者：孙 飞　　本报讯 蜀道难，难不倒青岛队！昨晚，在CBA常规赛第11轮中，客场作战的青岛国信双星男篮以98：91力克四川队，取得近三轮的第二场胜利，球队的出色表现与此前遭遇七连败时形成了鲜明对比。目前，国信双星的战绩为3胜8负，已经凭小分优势在积分榜上压过了与自己战绩相同的四川队。　　今年9月曾代表美国男篮打了两场世界杯预选赛的23岁中锋达卡里·约翰逊延续了近期的出色状态，交出28分、19个篮板、4次助攻、3次盖帽的华丽答卷，投篮命中率高达64.7%。由于在季前赛中表现平庸，约翰逊一度被青岛球迷视作盛名难副的“水货”，国信双星篮球俱乐部则曾在赛季前萌生再签一个内线外援做“备胎”的念头。　　然而正所谓是金子总会发光，随着对CBA的逐步了解和适应，身高2米13的约翰逊渐入佳境。近3轮比赛，他场均砍下28.7分、17个篮板、4.7次助攻、3次盖帽，为国信双星否极泰来作出了突出贡献。本赛季至今，约翰逊场均抢到6.4个前场篮板，场均送出2.4次盖帽，这两项数据均高居CBA榜首，其在内线的强大统治力由此可见一斑。　　当然，仅靠一个约翰逊就想在成都反客为主难于上青天。是役，国信双星多点开花，有5人得分上双。两届CBA常规赛“得分王”吉布森得到22分，末节两度投中超远三分球的张骋宇贡献19分，近期被主帅范斌委以重任的两名22岁小将焦海龙、杨凯表现不俗，前者砍下11分、8个篮板、2次盖帽，后者有11分、7个篮板入账。　　由于上赛季仅排名常规赛倒数第二的四川队本赛季放弃了引进亚洲外援的资格，作为补偿，他们可以按照4节7人次的方式使用双外援。首节，只排出单外援阵容的国信双星被两名外援同时在场的四川队打了一个28：18。不过此后三节，随着双方可以平等地使用外援，国信双星很快掌握主动权，三节分别赢了四川队8分、6分、3分，最终以7分的优势笑到最后。　　前十轮场均砍下38.9分、9.1个篮板、7.5次助攻、3.3次抢断、1.9次盖帽的四川队“全能战士”富兰克林昨晚发挥一般，仅得到27分、5个篮板、9次助攻，汤普森得到26分、14个篮板，35岁老将孟达和19岁小将黄荣奇分别有14分和10分入账。　　赛后，范斌在休息室里与弟子们逐一拍手相庆，感谢大家为这场来之不易的胜利付出的努力。范斌认为，国信双星的胜利之匙是比四川队多抢了12个篮板球，“关键时刻，队长张骋宇和周湛东利用出色的能力和丰富的经验盘活了全队。”　　昨晚，约翰逊的出场时间多达44分钟，而吉布森的出场时间只有27分钟。对此，范斌表示：“约翰逊的个人单打能力很强，球队需要他站出来，更好地产生内外结合的化学反应。吉布森的个人能力也很强，但有时会过度地单打独斗，从而影响球队的整体运转。今天我们做了一下调整，约翰逊在比赛中保持了很稳定的状态。如何让两名外援在充分发挥个人能力的同时更好地融入全队的战术体系，需要我们进一步去摸索解决。”
新疆男篮正式更换外援 上海旧将顶替杰弗森,2018年11月15日 17:37,　　北京时间11月15日，CBA联赛官方宣布，新疆男篮已经完成了外援更换。上赛季效力上海队的明纳拉斯将顶替杰弗森，征战接下来的比赛。　　杰弗森上赛季效力于NBA步行者队，是新疆队今年夏天最重磅的一笔引援。本赛季，杰弗森为新疆队出战了10场比赛，场均可以得到15.1分7.5篮板。新疆队在赛季前11轮取得了8胜3负的战绩，排名联赛第三。值得一提的是，新疆队在主场7胜0负，客场战绩仅为1胜3负。　　明纳拉斯上赛季为上海队出战40场，场均可以贡献27.4分8.4篮板。
杜兰特下家赔率湖人又第一！勇士要送走追梦？,2018年11月15日 07:33,【来源：直播吧】
勇士名宿当和事佬！他告诉KD和格林一个大道理,2018年11月15日 09:10,　　北京时间11月15日，据美媒体报道，凯文-杜兰特和德雷蒙德-格林之间的矛盾让勇士队的更衣室氛围变得紧张，而勇士队名宿马特-巴恩斯试图扮演和事老，并化解杜兰特和格林之间的矛盾。　　“昨晚，我给他俩（杜兰特和格林）都发了短信，并告诉他们：‘这是全世界希望看到的，全世界都希望看到这支球队出现不和谐，因为你们在顶端太孤独了，别人只能指望你们自己下坠。”巴恩斯在今天接受采访时说道。　　巴恩斯曾是勇士队黑八奇迹的成员之一。职业生涯的最后一个赛季（2016-17赛季），巴恩斯重返勇士队，并且带着一个总冠军戒指退役。　　巴恩斯和杜兰特以及格林都做过队友，所以他希望化解杜兰特和格林之间的矛盾。　　“德雷蒙德是最好的队友之一。”巴恩斯说道，“他的队友们能证明这点，而且联盟里真正懂篮球的人都会理解这点。”　　（罗森）
对于勇士内讧一事！队中一个大佬表示这很正常,2018年11月15日 07:19,　　北京11月15日消息，据美媒报道，金州勇士球员凯文-杜兰特在球队更衣室内讧之后首次接受了记者的采访，并表示自己与德拉蒙德-格林在争吵之后有过详细的交流。         　　杜兰特说：“我们在这件事情过后都有过向对方交流，这个赛季还很长，我不确定还会发生什么事情。”对于格林的禁赛，杜兰特表示：“我只是把全部的精力放在比赛上，并没有管太多。我不想透露太多的细节，不想让任何一个人上头版头条。”                　　伊戈达拉也接受了记者的采访，他说：“在夺冠的道路上不可能那么平坦，这就像是在爬山，我们总会遇到一些困难。”                       　　在前天勇士与快船的比赛第四节最后时刻，格林运球快攻出现失误，随后他与杜兰特发生了争吵，格林的举动也引起了勇士球员的不满，部分球员在更衣室里围着指责格林。在昨天勇士对阵老鹰的比赛中，格林被球赛禁赛一场。                              　　对于勇士内部的更衣室矛盾，以赛亚-托马斯也对此事发表了自己的看法：“你要知道，在更衣室里不可能不会有问题的出现，出现问题的时间大家必须要想办法去解决。无论怎样，输还是赢这都是爱。”（Emily）
詹姆斯开口谈勇士内讧！他称所有事都是瞎猜的,2018年11月15日 06:42,　　北京时间11月15日，主场备战跟开拓者的比赛中，湖人球星勒布朗-詹姆斯谈到了杜兰特和格林冲突的热门话题。　　詹姆斯说：“我不知道具体发生了什么，事实上我当时在看那场比赛，他们在板凳上发生了争吵。不过之后的事我就不知道了，我想我们都不知道，一切都至少猜测。我不在现场，我不会评论到底发生了什么。我也不想评论，这是那些家伙之间的事。在那种情况下，评价一件你没有真正了解的事是不公平的。”　　勇士跟快船的比赛末段，杜兰特猛烈质疑格林的进攻选择，并引发双方激烈的口角。跟老鹰的比赛，格林还被勇士队禁赛一场。而在私底下，詹姆斯和杜兰特、格林都是关系不错的朋友。　　原文来自LakersNation视频 黄振听译　　本文来自：NBA官网
勇士队友普遍挺格林？他们没兴趣求杜兰特留下,2018年11月15日 06:40,　　北京时间11月15日，据著名NBA记者马库斯-汤普森报道，关于杜兰特和格林的争吵，勇士队的球员们大多支持格林的观点，尽管他们认为格林的做法有些出格。　　据悉，格林在和杜兰特的争吵中主要把矛头对准杜兰特在明年夏天将成为自由球员。由于杜兰特一直表示他的决定会保持开放，因此格林认为杜兰特让自己的自由球员市场决定成为勇士队本赛季的焦点话题，而关于杜兰特明年去向的传闻不断。　　据悉，勇士队的球员们大多支持格林的观点，尽管他们认为格林的做法有些出格。　　马库斯-汤普森还表示，勇士队的球员们并没有兴趣试图说服杜兰特在明年夏天和勇士队续约。　　除了杜兰特之外，克雷-汤普森也将在明年成为自由球员，而格林将在2020年成为自由球员。但是和杜兰特不同，克雷和格林都公开表示希望和勇士队续约。　　（罗森）
杜兰特明年肯定离开勇士！俩队友用的肯定语气,2018年11月15日 06:35,　　北京时间11月15日，据美媒体报道，凯文-杜兰特和德雷蒙德-格林的矛盾在勇士队的更衣室里持续发酵。一位勇士队球员在接受勇士记者马库斯-汤普森的采访时表示他相信杜兰特肯定会在明年夏天离开勇士队。　　关于格林和杜兰特在与快船的比赛中发生争吵，勇士队昨天迅速做出反应，并对格林停薪禁赛一场。　　之前格林曾在更衣室顶撞主帅科尔，当时他被罚了一些钱。那么这一次，勇士队为什么不像上次那样私下对格林罚款呢？　　“如果我们认为这么做是正确的是，我们就会这么做，我们必须做我们认为是正确的事情。”一位勇士队的管理层在谈到对格林的禁赛时说道。　　很显然，勇士队的管理层这次是站在杜兰特这边，他们认为格林确实越线了。有些人可能会说这就是格林的性格，但是至少两名勇士队球员认为格林确实做得过头了，他不应该对队友进行人身攻击。另一位勇士球员甚至担心格林可能将失去他在勇士队更衣室的权威。　　“换句话说，杜兰特明年不可能回来了。”一位勇士队的球员说道，“唯一的希望是，届时他们（勇士队管理层）说：‘看，KD，我们支持你，我们在这件事情上面是保护你的。’”　　（罗森）
杜兰特的哥哥加入骂战？一句话暗指格林是疯子,2018年11月15日 06:30,　　北京时间11月15日，据美媒体报道，针对凯文-杜兰特和德雷蒙德-格林之间的矛盾和冲突，杜兰特的哥哥托尼在社交媒体上似乎对格林进行了抨击。　　“当一个人发疯的时候，他才会露出真面目！现在变得更加清楚了！”托尼-杜兰特在社交媒体上写下这句话。　　虽然没有指名道姓，但是所有人都知道托尼在说谁。　　勇士客场与快船的比赛中，格林和杜兰特在板凳席上发生争吵。当时，格林不仅骂杜兰特是“婊子”，而且还指责杜兰特在明年夏天自由球员市场上的决定让勇士队产生了分心。　　最终，勇士队对格林进行了禁赛一场的处罚，这让他损失了12万美元。　　（罗森）
杜兰特下家湖人领跑！美国杨毅说2选1且没勇士,2018年11月15日 06:14,　　北京时间11月15日，据著名NBA记者斯蒂芬-A史密斯报道，明年夏天，成为自由球员的凯文-杜兰特将在湖人和尼克斯之间做出选择。　　当杜兰特在今年夏天和勇士队续约一份1+1合同之后，外界就猜测他在明年夏天可能离开勇士队。　　本周初，勇士客场负于快船的比赛中，杜兰特和格林发生激烈的争吵，这几乎可以确定杜兰特明年夏天将离开勇士队。　　今天，著名NBA记者斯蒂芬-A史密斯在电台节目里透露，明年夏天，成为自由球员的凯文-杜兰特将在湖人和尼克斯之间做出选择。　　“明年夏天，KD不是去尼克斯就是湖人。”斯蒂芬-A史密斯说，“但我听说湖人处于领跑位置。”　　事实上，湖人和尼克斯一直被认为是杜兰特的两个潜在下家。　　（罗森）
WCBA第10轮-伊川女篮102-54狂胜大庆女篮,2018年11月15日 14:07,　　11月13日晚7时30分，2018—2019赛季WCBA联赛第十轮第88场比赛在洛阳新区体育馆隆重开赛，河南伊川农商银行女篮坐阵主场迎战大庆女篮。经过四节激战，伊川农商银行女篮以102：54的大比分轻松战胜大庆女篮，这是伊川农商银行女篮继10月30日以73：51战胜天津女篮，11月5日以81：66战胜山东女篮，11月月7日以72：66战胜浙江女篮，11月10以87：63大比分战胜湖北女篮之后的又一次胜利，至此，伊川农商银行女篮在2018—2019赛季WCBA联赛中获第五胜。　　在2018—2019赛季WCBA联赛前九轮比赛中，伊川农商银行女篮和大庆女篮均4胜5负积13分，但伊川农商银行女篮的净胜分多于大庆女篮列全国十八支女篮第十，而大庆女篮列第十一，两支女篮可谓旗鼓相当，比赛有看头。　　比赛开始，伊川农商银行女篮争得球权，道森一个3分球为本场球赛夺得开门红，之后孙杰、黄英利、魏于淳各进一个2分球，使场上比分为9：0，大庆女篮出师不利，在伊川农商银行女篮得到9分后才实现了“0”的突破，大庆女篮虽紧紧追赶，无奈伊川农商银行女篮防守到位，使得大庆女篮有很少的得分机会，第一节结束，伊川农商银行女篮以33：18领先。　　第二节一开始，大庆女篮明显加快了追赶步伐，无奈伊川农商银行女篮防守严密，大庆女篮没有较大突破，第二结束伊川农商银行女篮仍以54：30领先。　　下半场易边再战，大庆女篮奋起直追，但失误较多，随着时间的推移，比分逐渐拉大，第三节结束，伊川农商银行女篮再以79：42领先，夺得本场胜利已无悬念。关键的第四节，伊川农商银行女篮大胆启用新人，伊川农商银行女篮2018—2019赛季WCBA首秀冯松、成琦、张茹、张玲阁、胡玉琪轮番上阵，战绩非凡，张茹在压哨环节一个3分球，使伊川农商银行女篮得分超百，最终伊川农商银行女篮以102：54的大比分轻松战胜大庆女篮。　　本场比赛，外援道森32分13篮板，孙杰16分3篮板3助攻，黄英利15分3篮板4助攻，魏于淳9分6篮板5助攻。　　在赛后的新闻发布会上，伊川农商银行主教练汪尉杰说，本场比赛队员配合默契，加强防守，打的流畅自然。下一步，我们将加强训练，研究对手，争取在本赛季取得优异成绩。本场战罢，伊川农商银行以10战5胜5负列第八名。　　据悉，2018—2019赛季WCBA联赛包括卫冕冠军北京女篮在内，上赛季14支球队仍旧参加新赛季WCBA联赛，只是原八一女篮和沈部女篮合并成为一支球队，此外，新加入河南伊川农商银行、天津、湖北、河北和福建5支队伍。正式扩军至18支队伍的WCBA联赛于今年10月19日开赛，常规赛采用主客场双循环赛制，34轮共306场比赛，常规赛前八名进入季后赛，总决赛采用五战三胜制，整个赛程在2019年3月下旬落幕。　　（杨倍力）
WCBA第10轮-北京女篮93-75大胜江苏女篮,2018年11月15日 13:54,　　11月13日WCBA联赛第十轮，北京首钢女篮主场迎战江苏牛首山。四节激战，北京首钢93-75战胜对手。　　双方首发：　　北京：周宏华、邵婷、史秀峰、高颂、摩根·塔克　　江苏：张曼曼、金维娜、姜佳音、娜塔莉、龚莉　　首节比赛开始，首钢女篮跳得球权。摩根·塔克直击篮下连得4分。防守端抢断，邵婷快攻得分。江苏女篮进攻端连续出现失误，龚莉外线三分远投命中，及时止血，娜塔莉篮下低位要球两分打进将比分追平。首钢女篮齐思特外线三分命中，高颂转身跳投命中压哨两分，第一节比赛结束22-14首钢女篮领先。　　第二节比赛，江苏女篮许晨妍罚球线要球，传给篮下外援娜塔莉两分命中。第二节江苏女篮进攻加大攻势，连得6分。反观首钢女篮进攻端连续出现失误，手感不佳，多次篮下球没有得分。经过调整，冯帆篮下抢得二次篮板，命中两分。高颂弧顶命中三分。江苏女篮进攻端逐渐起色，将比分追平。暂停回来摩根·塔克、史秀峰接连命中三分。上半场比赛结束，38-34首钢女篮领先。　　易边再战，邵婷抢断，突破篮下分球，摩根两分命中，首钢女篮连得6分打停江苏。暂停回来陈晓佳外线命中三分。首钢女篮加大防守强度，造成对手进攻失误。面对有内线身高优势的江苏，首钢女篮顽强地在攻防两端拼抢篮板。摩根继外线果断出手命中三分后，突破上篮打成2+1，帮助首钢女篮将分差扩大到两位数 。江苏队外援娜塔莉2+1打成，进攻端连续造成首钢女篮犯规。史秀峰在首钢女篮进攻还剩4秒时，后仰跳投命中两分。第三节结束，69-57首钢女篮领先。　　最后一节比赛开始，史秀峰和摩根·塔克凭借个人能力连续得分，84-65首钢女篮扩大领先优势。江苏女篮依靠外线发起追分，命中多记三分。最后两分钟首钢女篮换上年轻队员，唐毓在篮下造成杀伤，随后助攻齐思特外线三分命中。齐钰防守端抢断一条龙上篮得手。江苏队龚莉命中三分远投，最终93-75，首钢女篮战胜江苏女篮，获得主场两连胜。
库里至少还要再歇10天！勇士最关键时刻他不在,2018年11月15日 06:02,　　北京时间11月15日，据美媒体报道，勇士队今天宣布斯蒂芬-库里因腹股沟伤势还将至少伤停10天。　　勇士队即将开启一波德州三连客，分别对阵火箭、独行侠和马刺。　　勇士队今天宣布，目前仍在努力恢复腹股沟伤势的库里将随队一起出征这波三连客，但是他不会上场。　　勇士队还表示，库里将在10天之后接受复查。　　这就意味着库里不仅将缺席未来3个客场比赛，还有接下来主场与开拓者以及雷霆这2场比赛。　　库里这次跟随勇士出征客场有稳定军心的含义。勇士客场与快船的比赛，杜兰特和格林发生争吵，当时库里并没有去洛杉矶。如今勇士队出现动荡，他们需要库里的存在。　　（罗森）
WCBA第10轮-第三节40分 上海女篮主场轻取天津,2018年11月15日 13:48,　　11月13日晚上，WCBA联赛2018-19赛季第十轮展开角逐。上海宝山大华女篮回到主场宝山体育中心迎战天津荣钢女篮，面对本赛季还未尝胜绩的WCBA新军，上半场发挥一般的大华女篮第三节气势如虹，单节40-13净胜27分，最终大华女篮以100-67轻松拿下对手，喜获主场三连胜！　　开赛以来负多胜少双方都渴望比赛的胜利，本赛季以培养年轻队员为首要任务的主队取胜的欲望更甚。首节，张芷婷的一攻一守以及伊莲娜的突破上篮，使主队取得4-0开局，随后全队通过紧逼防守和内线杀伤不断制造得分良机，获得较大的领先优势。只是片刻之后，急于拿下比赛的大华女篮显得有些急躁，在进攻中突然失去了投篮手感，好在天津队也没有抓住机会打出气势，不过该队外援艾依沙通过造犯规罚球追平了比分。伊莲娜为大华女篮抢下了不少篮板球，小将周鈺钰妍和陈钰君的外线手感不错，接连投进三分球，比分再一次拉开。不甘就范的天津队依靠外援的出色表现打出一个小高潮，再次追平了比分。大华女篮半场抢断，伊莲娜快攻篮下反手上篮成功。半场战罢，主队以39比34微弱领先。　　经过中场调整，大华女篮放平了心态，并进行了针对性布置。在加强防守力度的同时自己进攻火力全开，分差迅速拉开。反观天津队，在外援被主队完全限制住的情况下，没有新的得分点。大华女篮气势如虹第三节拿下40分高分的同时将对手的得分限制在13分，单节净胜27分。比赛胜负悬念已经失去。　　此后原本应该是走过场的第四节，却打出了超长时间，接连不断的犯规让双方在断断续续的节奏中完成了比赛。最终，上海宝山大华女篮以100比67大胜天津。　　区委书记汪泓、区人大常委会副主任王丽燕、须华威、中国篮协竞赛部部长肖红安等领导来到现场观赛，并在赛后看望了女篮教练和球员们。
上场斗起来！世界大学生3V3篮球联赛火爆开战,2018年11月15日 21:17,　　北京时间11月15日，2018世界大学生3V3篮球赛在厦门拉开战幕，这也是该项赛事连续第四年在厦门举行，马布里作为嘉宾出席了开幕式。　　本次大赛共有来自5大洲24个国家和地区的32支队伍参赛，男女各16支。　　比赛从11月15-18日，一共为期四天。15日和16日先进行小组赛，17日将会进行淘汰赛、投篮资格赛、扣篮资格赛、投篮决赛和扣篮决赛，18日将继续进行淘汰赛决出最终的胜者，并且进行颁奖仪式和闭幕仪式。　　本次中国男子的参赛队伍有华侨大学、中国民航大学，女子参赛队伍有清华大学和天津大学。　　在开幕式当天男子组C组的首场比赛中，华侨大学与尼日利亚的尼巴丹大学展开了交锋。开局华侨大学就命中了超远距离投篮，率先得分。随后实力强大的华侨大学一度取得了14-1的领先优势。尼巴丹大学一直在不断的通过远投试图追分，但最终还是没能成功。华侨大学以总比分21-7击败了对手。　　在C组的另一场较量中，中国民航大学迎来了与阿根廷拉马坦萨大学的对决，拉马坦萨大学前两年的表现非常出色，但中国民航大学凭借出色的个人能力以及精妙的团队配合以21-5大胜对手。　　华侨大学男子篮球队是中国大学生篮球联赛（CUBA）的一支传统强队。曾勇夺第二、第五、第七、第八、第九、第十、第十三、第十五、第十七届CUBA总冠军，实现“四连冠”，成就“九冠王”。还代表中国夺得了第六届亚洲大学生篮球锦标赛冠军。　　中国民航大学实力同样不容小觑，在2017-2018中国大学生3X3篮球联赛总决赛中，中国民航大学队以21比12胜成都体育学院队，获得全国总冠军。　　本次联赛在华侨大学厦门校区举办，由国际大学生体育联合会主办，由中国大学生体育协会、集美区人民政府、华侨大学协办。　　民族品牌乔丹体育连续第四年作为比赛赞助商，为160名参赛运动员提供了专业的训练服、比赛服等全套产品。此外，现场裁判员、官员、工作人员、志愿者、啦啦队也将全部穿着乔丹体育赞助的产品。　　乔丹体育以“斗”为核心，为球员们设计了全新的T恤和比赛服，以此来传递象征着球员们在上斗志昂扬，永不服输，战斗到底的比赛精神。　　世界大学生三对三篮球联赛是国际大学生体育联合会创办的以大学直接组队为参赛单位、以三对三篮球为项目媒介的国际性大学生篮球联赛。赛事的全球总决赛自2015年起由中国大学生体育协会和华侨大学首次承办，今年已是第四次在华侨大学举办。　　男子组方面，加拿大队的魁北克大学蒙特利尔分校获得了2015年首届世界大学生三对三篮球联赛男子组的冠军，同样来自加拿大的麦吉尔大学获得了2016年第二届世界大学生三对三篮球联赛男子组的冠军，而来自蒙古的蒙古体育大学夺得了第三届世界大学生三对三篮球联赛男子组的冠军。　　女子组方面，2015年首届世界大学生三对三篮球联赛女子组冠军是天津财经大学，2016年第二届世界大学生三对三篮球联赛女子组冠军是立陶宛体育大学，2017年第三届世界大学生三对三篮球联赛女子组冠军是台湾中国文化大学。
丁彦雨航邀请周琦吃德州大牛肉 周琦：等我！,2018年11月15日 12:41,　　北京时间11月15日，效力于美国NBDL联赛德克萨斯传奇队的中国球员丁彦雨航在微博中晒出了自己的近况，分享了德州特产大牛肉，并手邀请周琦吃饭。　　丁彦雨航写道：“德州不光有扒鸡，还有大牛肉。来一口吗@周琦？”　　丁彦雨航口中所说的“德州扒鸡”来自于他的第二故乡山东，被誉为“天下第一鸡”。周琦回复道：“等我。”　　目前丁彦雨航效力的德克萨斯传奇队是一家位于德州弗里斯科的NBA发展联盟球队，隶属于达拉斯独行侠。而周琦效力的里奥格兰德河谷毒蛇队是一家位于德州伊达尔戈的NBA发展联盟球队，隶属于休斯敦火箭队。　　（李白）
王治郅:球员技术差强人意 我们只求个温饱就行,2018年11月15日 12:19,　　从传奇到教练 王治郅自诩求个温饱就好　　北京时间11月15日，八一队做客凯迪拉克中心，迎战五连胜的北京队。作为八一队主教练的王治郅谈到了今晚的比赛，也谈到了他从队员到主教练的心态变化。他表示，自己对于队员的要求并不高，“我们要求个温饱就好了。”　　记者：谈下这一场比赛。　　王治郅：首钢现在状态也不错，虽然伤病比较多。也是五连胜了吧，包括几场加时赛的比赛，我们都看了。他们防守做得比较好，还是多学习。希腊这个教练，我们在国家队也跟他待过。主要是防守比较凶狠。我们也说了，希望把我们的特点打出来。　　记者：上赛季八一和北京那场比赛，八一的内线给北京队制造了很大的麻烦。今天还会采取这样的策略吗？　　王治郅：因为我们有内线配合，也有外线配合，当然每个人都有机会，还是看临场的发挥吧。如果内线好一些，我们就做足内线。外线我们也希望能够把三分球的命中率尽可能的保持好一些。　　记者：大家都很关心你从球员到主教练的转变。赛季开始的小风波到现在，心态如何了？　　王治郅：其实我们还好，每天都在干着一件事。不管是队员还是当教练都在篮球场上。刚才缺了人了我还上去跑跑篮，投投篮什么的。这确实有一个心态（问题），因为当队员的时候没有现在心态那么着急，他们那些技术动作吧，确实差强人意。我只能跟他们说，好好练，把基本的动作做好，上空篮咱们上进了，空位投篮争取投进了，罚篮罚进了，把该得的分都能得着。　　记者：感觉你的要求并不是很高啊？　　王治郅：不高不高，我们只是要求个温饱就行了。　　记者：现在会手痒吗？会想换件衣服直接上吗？　　王治郅：（笑着摇头）那倒没有。毕竟打了很长时间了，但是我们对篮球的热爱和向往还是深入骨髓里的，还是希望有机会把我身上学到的东西教给他们。　　记者：如何评价八一这个赛季的开局？　　王治郅：这只是长征第一步，也要一步一步来，毕竟很多东西希望他们能够对这个比赛、包括对困难有个坚持。因为坚持挺难的，说放弃挺容易的。　　记者：从球员到主教练的过渡，你的队员能接受吗？　　王治郅：我和他们一直在一起，助理教练我带了三年，所有这四年以来的每一场技术统计我都有。你可以说我这个那个，但你绝对不能说我不了解你们。　　记者：当教练员的成绩队员很难超越的时候，他们会压力很大吗？　　王治郅：还可以吧，我们其实挺轻松的。我也会给他们一些空间，我也跟他们说进攻我可以你们空间，但防守绝对不能打折，这是我们一贯的要求。　　（晴天）
